Date,Open,High,Low,Close,Adj Close,Volume,ticker
2022-12-26,8e-06,8e-06,8e-06,8e-06,8e-06,54139505,SHIB-USD
2022-12-27,8e-06,8e-06,8e-06,8e-06,8e-06,81136271,SHIB-USD
2022-12-28,8e-06,8e-06,8e-06,8e-06,8e-06,114991994,SHIB-USD
2022-12-29,8e-06,8e-06,8e-06,8e-06,8e-06,149077179,SHIB-USD
2022-12-30,8e-06,8e-06,8e-06,8e-06,8e-06,92004615,SHIB-USD
2022-12-31,8e-06,8e-06,8e-06,8e-06,8e-06,63222219,SHIB-USD
2023-01-01,8e-06,8e-06,8e-06,8e-06,8e-06,54630954,SHIB-USD
2023-01-02,8e-06,8e-06,8e-06,8e-06,8e-06,87586024,SHIB-USD
2023-01-03,8e-06,8e-06,8e-06,8e-06,8e-06,80033128,SHIB-USD
2023-01-04,8e-06,8e-06,8e-06,8e-06,8e-06,143577598,SHIB-USD
2023-01-05,8e-06,9e-06,8e-06,8e-06,8e-06,262459409,SHIB-USD
2023-01-06,8e-06,8e-06,8e-06,8e-06,8e-06,145341328,SHIB-USD
2023-01-07,8e-06,9e-06,8e-06,8e-06,8e-06,122401278,SHIB-USD
2023-01-08,8e-06,9e-06,8e-06,9e-06,9e-06,117466939,SHIB-USD
2023-01-09,9e-06,9e-06,9e-06,9e-06,9e-06,391325052,SHIB-USD
2023-01-10,9e-06,1e-05,9e-06,9e-06,9e-06,415962114,SHIB-USD
2023-01-11,9e-06,9e-06,9e-06,9e-06,9e-06,262690632,SHIB-USD
2023-01-12,9e-06,1e-05,9e-06,9e-06,9e-06,400548956,SHIB-USD
2023-01-13,9e-06,1e-05,9e-06,1e-05,1e-05,363109913,SHIB-USD
2023-01-14,1e-05,1.1e-05,1e-05,1e-05,1e-05,587763520,SHIB-USD
2023-01-15,1e-05,1.1e-05,1e-05,1.1e-05,1.1e-05,400585139,SHIB-USD
2023-01-16,1.1e-05,1.1e-05,1e-05,1.1e-05,1.1e-05,405517494,SHIB-USD
2023-01-17,1.1e-05,1.1e-05,1e-05,1.1e-05,1.1e-05,250210750,SHIB-USD
2023-01-18,1.1e-05,1.3e-05,1.1e-05,1.1e-05,1.1e-05,1460356847,SHIB-USD
2023-01-19,1.1e-05,1.2e-05,1.1e-05,1.2e-05,1.2e-05,400204465,SHIB-USD
2023-01-20,1.2e-05,1.2e-05,1.1e-05,1.2e-05,1.2e-05,387155910,SHIB-USD
2023-01-21,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,498671144,SHIB-USD
2023-01-22,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,379150200,SHIB-USD
2023-01-23,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,263047877,SHIB-USD
2023-01-24,1.2e-05,1.2e-05,1.1e-05,1.1e-05,1.1e-05,275464907,SHIB-USD
2023-01-25,1.1e-05,1.2e-05,1.1e-05,1.2e-05,1.2e-05,289308795,SHIB-USD
2023-01-26,1.2e-05,1.2e-05,1.1e-05,1.2e-05,1.2e-05,224253546,SHIB-USD
2023-01-27,1.2e-05,1.2e-05,1.1e-05,1.2e-05,1.2e-05,200955714,SHIB-USD
2023-01-28,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,320151728,SHIB-USD
2023-01-29,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,225732341,SHIB-USD
2023-01-30,1.2e-05,1.2e-05,1.1e-05,1.2e-05,1.2e-05,300495992,SHIB-USD
2023-01-31,1.2e-05,1.2e-05,1.1e-05,1.2e-05,1.2e-05,306240450,SHIB-USD
2023-02-01,1.2e-05,1.2e-05,1.1e-05,1.2e-05,1.2e-05,300740434,SHIB-USD
2023-02-02,1.2e-05,1.3e-05,1.2e-05,1.2e-05,1.2e-05,547280634,SHIB-USD
2023-02-03,1.2e-05,1.3e-05,1.2e-05,1.3e-05,1.3e-05,444629769,SHIB-USD
